51.222.75.219:8080
208.82.61.66:3128
130.18.255.115:8080
134.238.252.143:8080
117.251.103.186:8080
200.105.215.22:33630
49.0.2.242:8090
141.94.137.176:1337
195.225.232.3:8085
161.53.129.23:3128
148.251.184.47:1988
157.230.217.226:8080
154.16.180.182:3128
198.144.149.82:3128
157.100.12.138:999
136.243.3.245:1988
144.76.119.59:1988
52.87.136.220:80
176.100.13.15:8080
5.9.112.247:3128
